customer_id,has_loyalty_card,loyalty_card_number,points_balance,tier,signup_date
CUST1000,False,,1497,Silver,2020-05-18
CUST1001,False,,6066,Silver,2020-12-24
CUST1002,True,LC200002,2005,Silver,2022-04-15
CUST1003,False,,393,Basic,2024-03-02
CUST1004,True,LC200004,7098,Gold,2023-11-09
CUST1005,True,LC200005,1560,Silver,2024-06-15
CUST1006,True,LC200006,2550,Gold,2025-06-05
CUST1007,False,,2847,Gold,2023-07-27
CUST1008,True,LC200008,6979,Gold,2024-07-18
CUST1009,True,LC200009,2886,Silver,2021-04-27
CUST1010,True,LC200010,3321,Gold,2022-06-27
CUST1011,True,LC200011,226,Basic,2023-02-08
CUST1012,False,,6584,Gold,2022-05-15
CUST1013,False,,342,Basic,2020-05-18
CUST1014,False,,1791,Silver,2022-09-22
CUST1015,True,LC200015,10965,Gold,2021-03-10
CUST1016,True,LC200016,641,Basic,2021-05-23
CUST1017,True,LC200017,3533,Gold,2020-09-29
CUST1018,True,LC200018,2311,Silver,2023-01-27
CUST1019,True,LC200019,2664,Gold,2024-11-22
CUST1020,False,,2772,Gold,2025-02-16
CUST1021,True,LC200021,1257,Silver,2020-04-13
CUST1022,True,LC200022,591,Basic,2023-05-22
CUST1023,True,LC200023,5362,Platinum,2024-11-19
CUST1024,True,LC200024,5530,Silver,2024-08-14
CUST1025,True,LC200025,1487,Silver,2022-01-31
CUST1026,False,,4731,Platinum,2022-02-25
CUST1027,False,,5814,Gold,2020-06-13
CUST1028,False,,4996,Gold,2022-09-25
CUST1029,True,LC200029,1963,Silver,2025-02-19
CUST1030,True,LC200030,3352,Basic,2021-06-03
CUST1031,True,LC200031,2258,Silver,2023-07-31
CUST1032,True,LC200032,2922,Silver,2021-05-31
CUST1033,False,,1961,Silver,2021-10-18
CUST1034,True,LC200034,6514,Gold,2021-09-04
CUST1035,True,LC200035,4715,Platinum,2020-06-12
CUST1036,True,LC200036,4575,Platinum,2025-03-24
CUST1037,True,LC200037,1098,Silver,2024-08-09
CUST1038,False,,2416,Gold,2020-03-04
CUST1039,True,LC200039,3325,Gold,2023-01-19
CUST1040,True,LC200040,4366,Silver,2023-02-14
CUST1041,True,LC200041,2071,Silver,2025-03-04
CUST1042,True,LC200042,2986,Gold,2020-09-23
CUST1043,False,,1879,Silver,2025-01-19
CUST1044,False,,5838,Platinum,2024-09-04
CUST1045,False,,11009,Basic,2024-05-01
CUST1046,False,,4540,Gold,2023-03-09
CUST1047,True,LC200047,4053,Silver,2020-09-02
CUST1048,False,,4690,Platinum,2024-08-11
CUST1049,True,LC200049,806,Silver,2024-11-16
CUST1050,True,LC200050,2629,Gold,2021-01-29
CUST1051,False,,492,Basic,2024-02-19
CUST1052,True,LC200052,2651,Silver,2021-04-20
CUST1053,False,,5689,Silver,2024-03-20
CUST1054,True,LC200054,2857,Gold,2022-09-03
CUST1055,False,,7300,Platinum,2023-04-22
CUST1056,False,,4432,Gold,2022-11-09
CUST1057,False,,1708,Silver,2025-05-14
CUST1058,False,,830,Basic,2021-07-11
CUST1059,False,,2677,Gold,2022-10-14
CUST1060,True,LC200060,2040,Silver,2024-03-27
CUST1061,True,LC200061,3593,Basic,2024-05-24
CUST1062,True,LC200062,4722,Platinum,2024-04-01
CUST1063,False,,1336,Silver,2022-06-01
CUST1064,True,LC200064,3898,Gold,2020-05-26
CUST1065,False,,12665,Silver,2021-10-27
CUST1066,True,LC200066,4024,Gold,2023-08-20
CUST1067,True,LC200067,3096,Basic,2021-09-11
CUST1068,False,,6275,Platinum,2024-11-06
CUST1069,True,LC200069,5935,Basic,2022-03-30
CUST1070,True,LC200070,4564,Gold,2022-05-13
CUST1071,True,LC200071,2267,Silver,2021-08-04
CUST1072,False,,5719,Platinum,2022-10-19
CUST1073,False,,2628,Gold,2021-11-25
CUST1074,True,LC200074,1810,Silver,2024-11-20
CUST1075,True,LC200075,10170,Gold,2023-06-05
CUST1076,True,LC200076,4975,Platinum,2023-01-30
CUST1077,False,,7975,Gold,2024-05-29
CUST1078,False,,1786,Silver,2023-12-11
CUST1079,True,LC200079,4229,Gold,2025-06-04
CUST1080,True,LC200080,1738,Silver,2023-05-24
CUST1081,True,LC200081,2922,Gold,2021-02-10
CUST1082,False,,1021,Basic,2021-02-02
CUST1083,False,,5970,Gold,2025-04-30
CUST1084,True,LC200084,4596,Platinum,2021-12-15
CUST1085,True,LC200085,4240,Silver,2021-12-04
CUST1086,True,LC200086,4947,Gold,2022-01-30
CUST1087,False,,4087,Gold,2021-05-13
CUST1088,True,LC200088,793,Basic,2024-11-12
CUST1089,False,,2145,Silver,2024-01-28
CUST1090,False,,446,Basic,2024-09-10
CUST1091,True,LC200091,980,Basic,2025-05-26
CUST1092,True,LC200092,4365,Platinum,2022-08-31
CUST1093,True,LC200093,4249,Platinum,2024-10-20
CUST1094,False,,3441,Silver,2020-03-22
CUST1095,False,,4844,Platinum,2021-08-26
CUST1096,False,,2727,Silver,2025-05-24
CUST1097,True,LC200097,4088,Platinum,2024-09-06
CUST1098,True,LC200098,5124,Platinum,2024-11-09
CUST1099,False,,5958,Gold,2022-02-10
CUST1100,False,,1865,Silver,2022-06-21
CUST1101,True,LC200101,2439,Gold,2020-12-30
CUST1102,False,,3165,Gold,2020-06-11
CUST1103,False,,5238,Gold,2022-12-07
CUST1104,True,LC200104,5870,Gold,2021-05-25
CUST1105,False,,4728,Platinum,2023-09-14
CUST1106,False,,2169,Silver,2025-02-06
CUST1107,False,,5332,Platinum,2020-04-25
CUST1108,True,LC200108,2990,Gold,2022-07-29
CUST1109,True,LC200109,4466,Platinum,2025-02-15
CUST1110,False,,2870,Silver,2020-12-02
CUST1111,True,LC200111,6499,Silver,2022-05-30
CUST1112,True,LC200112,1508,Silver,2022-01-06
CUST1113,True,LC200113,3083,Gold,2025-03-02
CUST1114,True,LC200114,5476,Gold,2022-04-19
CUST1115,False,,1725,Basic,2020-05-26
