transaction_id,transaction_datetime,customer_id,age,gender,emirate,category,product,quantity,unit_price_aed,total_aed,has_loyalty,offer_applied,points_earned,points_redeemed
TR50000,2025-03-31 01:23:37.701600,CUST1023,46,Male,Dubai,Grocery,Rice 5kg,1,30.3,30.3,True,True,30,0
TR50001,2025-05-11 15:19:54.701600,CUST1152,49,Male,Abu Dhabi,Grocery,Milk 1L,1,5.97,5.97,False,False,5,0
TR50002,2025-05-02 03:43:28.701600,CUST1131,74,Male,Ajman,Grocery,Milk 1L,1,5.82,5.82,False,False,5,0
TR50003,2024-12-28 12:29:05.701600,CUST1198,28,Female,Fujairah,Clothing,Jeans,2,149.58,239.33,True,False,299,183
TR50004,2025-05-29 13:25:19.701600,CUST1240,19,Female,Dubai,Electronics,Smartphone,1,1211.09,1211.09,True,False,1211,0
TR50005,2025-04-19 22:23:15.701600,CUST1396,71,Female,Umm Al Quwain,Electronics,Headphones,1,116.08,116.08,False,True,116,0
TR50006,2025-04-02 06:44:48.701600,CUST1089,68,Male,Dubai,Clothing,T-Shirt,1,58.14,58.14,False,False,58,0
TR50007,2025-06-29 14:16:48.701600,CUST1244,24,Male,Ras Al Khaimah,Home,Bedsheet,3,181.86,545.58,True,False,545,0
TR50008,2024-11-04 15:21:46.701600,CUST1155,40,Male,Dubai,Electronics,Headphones,1,124.08,124.08,False,False,124,0
TR50009,2025-06-21 21:39:41.701600,CUST1246,51,Male,Dubai,Pharmacy,Vitamins,1,92.63,92.63,True,False,92,0
TR50010,2024-12-30 04:52:07.701600,CUST1323,60,Male,Sharjah,Grocery,Milk 1L,3,5.4,16.2,True,True,16,0
TR50011,2025-02-25 16:38:32.701600,CUST1075,74,Female,Abu Dhabi,Clothing,T-Shirt,1,57.15,57.15,True,False,57,0
TR50012,2025-01-10 14:12:35.701600,CUST1323,60,Male,Sharjah,Grocery,Milk 1L,1,5.87,5.87,True,False,5,0
TR50013,2024-12-07 20:50:12.701600,CUST1253,60,Male,Sharjah,Clothing,Jacket,1,344.36,344.36,False,False,344,0
TR50014,2024-11-06 16:02:32.701600,CUST1238,33,Female,Abu Dhabi,Clothing,Jacket,1,325.49,325.49,True,False,325,0
TR50015,2025-05-29 02:21:41.701600,CUST1058,21,Male,Dubai,Toys,Action Figure,1,50.38,50.38,False,False,50,0
TR50016,2025-04-08 22:13:18.701600,CUST1050,62,Female,Abu Dhabi,Toys,Action Figure,1,43.54,43.54,True,True,43,0
TR50017,2024-11-17 17:29:21.701600,CUST1367,67,Female,Dubai,Grocery,Rice 5kg,1,35.41,35.41,False,False,35,0
TR50018,2025-03-10 20:47:30.701600,CUST1246,51,Male,Dubai,Toys,Action Figure,2,41.22,82.44,True,True,82,0
TR50019,2024-12-28 05:35:53.701600,CUST1094,44,Female,Sharjah,Toys,Action Figure,1,47.35,47.35,False,False,47,0
TR50020,2025-01-20 15:47:47.701600,CUST1052,42,Female,Dubai,Grocery,Olive Oil 1L,1,44.25,35.4,True,False,44,56
TR50021,2025-03-15 23:11:46.701600,CUST1083,53,Male,Abu Dhabi,Electronics,Headphones,1,99.21,99.21,False,True,99,0
TR50022,2025-08-14 03:36:46.701600,CUST1081,57,Female,Sharjah,Grocery,Milk 1L,1,5.63,5.63,True,False,5,0
TR50023,2024-10-20 09:06:08.701600,CUST1040,22,Male,Abu Dhabi,Home,Bedsheet,1,175.49,140.39,True,False,175,74
TR50024,2024-12-21 22:03:43.701600,CUST1265,26,Female,Sharjah,Grocery,Olive Oil 1L,1,46.98,46.98,True,False,46,0
TR50025,2024-12-12 08:53:38.701600,CUST1045,71,Female,Dubai,Grocery,Olive Oil 1L,2,45.06,90.12,False,False,90,0
TR50026,2025-06-05 04:48:01.701600,CUST1272,22,Female,Abu Dhabi,Clothing,Dress,1,197.5,197.5,True,False,197,0
TR50027,2025-03-10 10:20:32.701600,CUST1015,43,Male,Dubai,Electronics,Laptop,1,2695.34,2695.34,True,False,2695,0
TR50028,2025-01-14 12:35:10.701600,CUST1294,24,Male,Dubai,Grocery,Olive Oil 1L,1,45.0,45.0,False,False,45,0
TR50029,2025-01-21 21:03:12.701600,CUST1036,22,Male,Ras Al Khaimah,Clothing,T-Shirt,2,53.92,107.84,True,True,107,0
TR50030,2024-11-06 14:08:58.701600,CUST1132,74,Male,Umm Al Quwain,Grocery,Milk 1L,1,6.15,6.15,False,False,6,0
TR50031,2024-11-21 05:39:09.701600,CUST1152,49,Male,Abu Dhabi,Toys,Action Figure,1,48.26,48.26,False,False,48,0
TR50032,2025-01-25 19:29:00.701600,CUST1075,74,Female,Abu Dhabi,Electronics,Laptop,2,2742.12,5484.24,True,False,5484,0
TR50033,2025-04-27 05:52:35.701600,CUST1234,24,Male,Abu Dhabi,Grocery,Milk 1L,1,5.9,5.9,False,False,5,0
TR50034,2025-02-28 22:24:16.701600,CUST1136,66,Male,Abu Dhabi,Electronics,Laptop,1,2665.25,2665.25,False,False,2665,0
TR50035,2025-05-26 19:30:58.701600,CUST1047,60,Female,Umm Al Quwain,Grocery,Milk 1L,1,6.07,6.07,True,False,6,0
TR50036,2025-06-08 00:30:26.701600,CUST1386,51,Male,Sharjah,Clothing,Jacket,1,330.04,330.04,False,False,330,0
TR50037,2025-09-04 00:11:36.701600,CUST1270,27,Female,Dubai,Home,Bedsheet,3,163.21,489.63,True,True,489,0
TR50038,2025-05-08 19:38:08.701600,CUST1233,48,Male,Abu Dhabi,Electronics,Powerbank,2,81.7,163.4,True,False,163,0
TR50039,2025-03-07 15:19:35.701600,CUST1316,65,Male,Abu Dhabi,Grocery,Olive Oil 1L,1,46.09,46.09,False,False,46,0
TR50040,2024-12-09 20:20:17.701600,CUST1264,23,Female,Dubai,Electronics,Headphones,1,127.9,127.9,False,False,127,0
